db9e9bd3-d63c-4a18-a687-ddd2189e1706 | df77fe3e-5559-4c6f-ba86-9c3c673edd08 | Milk | Dairy | 2 | L | 2 | 2025-11-28
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 5d167f7b-4296-4dc0-8213-96e904f144f9 | Eggs | Dairy | 12 | pcs | 6 | 2025-12-15
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | a34fa82e-0171-4b2a-b076-8cc37d3d67f6 | Rice | Grains | 5 | kg | 2 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | a152b312-d670-4c5f-8d19-8de6e24b93e9 | Pasta | Grains | 1 | kg | 3 | 2026-01-10
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 6459f3cd-9909-45b1-a2ea-2bde04a5a4d2 | Chicken | Meat | 0 | kg | 2 | 2025-11-26
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 8b5f2ebb-3769-4cd1-a99f-f851f92cf092 | Canned Beans | Canned | 8 | pcs | 3 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 21dc64e7-b6a1-48ef-91b4-be59b13b6ce7 | Tomato Sauce | Condiments | 1 | jar | 2 | 2025-12-05
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 1bf8f2ee-d477-424a-b53a-b1c0531e7c4d | Cheese | Dairy | 0 | kg | 1 | 2025-11-29
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | b1d02ed8-b412-4b49-a784-1e26290a3d96 | Bread | Bakery | 3 | pcs | 2 | 2025-11-25
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 8b103701-25e8-4c69-b34a-2acb0506579f | Flour | Baking | 4 | kg | 1 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | af2f247d-13ab-4c16-adb1-ce3dae18905a | Sugar | Baking | 6 | kg | 2 | -
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 1b5ac79e-a520-443d-8746-56b11c1f4259 | Butter | Dairy | 2 | kg | 1 | 2025-12-02
db9e9bd3-d63c-4a18-a687-ddd2189e1706 | 6fe9b1f7-dfb0-480e-8b03-02de90b4ce5c | Yogurt | Dairy | 5 | pcs | 2 | 2025-12-01
